name,url,description,found_by
rodjenihm/danijelmitrovic.com,https://github.com/rodjenihm/danijelmitrovic.com,My personal website,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
adoringonion/ecs-practice,https://github.com/adoringonion/ecs-practice,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
eastlondoner/cursor-tools,https://github.com/eastlondoner/cursor-tools,Give Cursor Agent an AI Team and Advanced Skills,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
pdfme/pdfme,https://github.com/pdfme/pdfme,"Open-source PDF generation library built with TypeScript and React. Features a WYSIWYG template designer, PDF viewer, and powerful generation capabilities. Create custom PDFs effortlessly in both browser and Node.js environments.","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
explicitcontextualunderstanding/vscodecontext,https://github.com/explicitcontextualunderstanding/vscodecontext,A Model Context Protocol server to provide configurable context from VSCode Context APIs to the model,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
TrueCrimeAudit/ClautoHotkey,https://github.com/TrueCrimeAudit/ClautoHotkey,This repo has the docs needed to create a useful Autohotkey v2 project in Claude. ,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
Michaelzag/RooArmy,https://github.com/Michaelzag/RooArmy,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
fxcl/.dotfiles,https://github.com/fxcl/.dotfiles,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
Pawel-Mackiewicz/BankApp,https://github.com/Pawel-Mackiewicz/BankApp,JAVA BankApp for portfolio,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
yysun/apprun,https://github.com/yysun/apprun,"AppRun is a JavaScript library for developing high-performance and reliable web applications using the elm inspired architecture, events and components.","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
SolaceHarmony/ember-ml,https://github.com/SolaceHarmony/ember-ml,"Machine Learning with MLX, Torch and other backends similar to torch/keras","code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
ready-1/M4300API_helpers.bak,https://github.com/ready-1/M4300API_helpers.bak,,"code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
