name,url,description,found_by
shreyashguptas/file_converter,https://github.com/shreyashguptas/file_converter,"I want to create a free tool that people can upload any kind of file like pdf, png, jpeg and convert them to different format types and also reduce the size to whatever they are looking for.",cursor_config: filename:.cursorignore
usUpal/OG-GRAM,https://github.com/usUpal/OG-GRAM,,cursor_config: filename:.cursorignore
jfrconley/confluence-downloader,https://github.com/jfrconley/confluence-downloader,Simple tool to download confluence spaces,cursor_config: filename:.cursorignore
daviddwlee84/PueueWrapper,https://github.com/daviddwlee84/PueueWrapper,Python wrapper for Pueue (a task queue manager),cursor_config: filename:.cursorignore
captaindpt/prism,https://github.com/captaindpt/prism,,cursor_config: filename:.cursorignore
soheil-mp/Auto-Pilot-Gaming,https://github.com/soheil-mp/Auto-Pilot-Gaming,A deep reinforcement learning framework for training AI agents in classic control and Atari environments. 🚀,cursor_config: filename:.cursorignore
callmeartan/Figma-Cursor-MCP,https://github.com/callmeartan/Figma-Cursor-MCP,,cursor_config: filename:.cursorignore
this233/HW_RAG,https://github.com/this233/HW_RAG,,cursor_config: filename:.cursorignore
cesar-bravo-m/duoc-b2-desarrollo-fullstack-front,https://github.com/cesar-bravo-m/duoc-b2-desarrollo-fullstack-front,,cursor_config: filename:.cursorignore
SuperMuel/repotransbench-analysis,https://github.com/SuperMuel/repotransbench-analysis,,cursor_config: filename:.cursorignore
AshtonIzmev/tmp_formation,https://github.com/AshtonIzmev/tmp_formation,,cursor_config: filename:.cursorignore
IMUR/emcwest,https://github.com/IMUR/emcwest,,cursor_config: filename:.cursorignore
ArianMoeini/ESP-EYE,https://github.com/ArianMoeini/ESP-EYE,,cursor_config: filename:.cursorignore
Ellipog/Critter,https://github.com/Ellipog/Critter,Critter: Made for practicing and learning. ,cursor_config: filename:.cursorignore
luolong47/dsms-vue-admin-box,https://github.com/luolong47/dsms-vue-admin-box,,cursor_config: filename:.cursorignore
iamlamm/DocCarePlus,https://github.com/iamlamm/DocCarePlus,,cursor_config: filename:.cursorignore
patrickdwyer33/boilerplate,https://github.com/patrickdwyer33/boilerplate,,cursor_config: filename:.cursorignore
ishidafuu/isdf_godot_first,https://github.com/ishidafuu/isdf_godot_first,,cursor_config: filename:.cursorignore
carmandale/pepsi_blender_comp,https://github.com/carmandale/pepsi_blender_comp,,cursor_config: filename:.cursorignore
thepKz/Blind_Bag,https://github.com/thepKz/Blind_Bag,Trò chơi túi mù đang phổ biến tại Việt Nam.,cursor_config: filename:.cursorignore
miccy/expo-playground,https://github.com/miccy/expo-playground,React native and Expo experiments monorepo.,cursor_config: filename:.cursorignore
Holding-1-at-a-time/scheduling-beta,https://github.com/Holding-1-at-a-time/scheduling-beta,,cursor_config: filename:.cursorignore
elioverhoef/youtube-video-retriever,https://github.com/elioverhoef/youtube-video-retriever,A Python tool to retrieve video transcripts from Michael Lustgarden's YouTube channel using scrapetube and youtube-transcript-api,cursor_config: filename:.cursorignore
syntraprogrammeurs/laravelblogklas2025,https://github.com/syntraprogrammeurs/laravelblogklas2025,,cursor_config: filename:.cursorignore
maciekkand/nuxt3cars,https://github.com/maciekkand/nuxt3cars,,cursor_config: filename:.cursorignore
MohitBhimrajka/business-reconciliation,https://github.com/MohitBhimrajka/business-reconciliation,,cursor_config: filename:.cursorignore
housemeow/todo-list,https://github.com/housemeow/todo-list,,cursor_config: filename:.cursorignore
MiroStW/pkm-embedding-pipeline,https://github.com/MiroStW/pkm-embedding-pipeline,,cursor_config: filename:.cursorignore
TerminallyLazy/Novion,https://github.com/TerminallyLazy/Novion,AI Powered Radiology Assistant,cursor_config: filename:.cursorignore
gluebag/HireGlue,https://github.com/gluebag/HireGlue,,cursor_config: filename:.cursorignore
respawn-app/meetingcost,https://github.com/respawn-app/meetingcost,"Realtime meeting cost display, written in Kotlin with FlowMVI",cursor_config: filename:.cursorignore
justdoinc/justdo-web-app-ce,https://github.com/justdoinc/justdo-web-app-ce,,cursor_config: filename:.cursorignore
l0jwSIFa/KwGOlxY,https://github.com/l0jwSIFa/KwGOlxY,nothing to do,cursor_config: filename:.cursorignore
Bhmbrdh/ODb8KHuC5fY,https://github.com/Bhmbrdh/ODb8KHuC5fY,nothing to do,cursor_config: filename:.cursorignore
sHgNHwBO5c/OEkBRWvm5hY,https://github.com/sHgNHwBO5c/OEkBRWvm5hY,nothing to do,cursor_config: filename:.cursorignore
George4500/AppWebDashboard,https://github.com/George4500/AppWebDashboard,An app dashboard,cursor_config: filename:.cursorignore
QKkw5q/QnYOpJe2Y,https://github.com/QKkw5q/QnYOpJe2Y,nothing to do,cursor_config: filename:.cursorignore
5MbEeb/TLSS6Hk0Y,https://github.com/5MbEeb/TLSS6Hk0Y,nothing to do,cursor_config: filename:.cursorignore
KSUZuY/KYuHgKTTY,https://github.com/KSUZuY/KYuHgKTTY,nothing to do,cursor_config: filename:.cursorignore
PiSe5/DopDz74LY,https://github.com/PiSe5/DopDz74LY,nothing to do,cursor_config: filename:.cursorignore
chibataku0815/forestone-blog-remix-netlify,https://github.com/chibataku0815/forestone-blog-remix-netlify,,cursor_config: filename:.cursorignore
chibataku0815/hono-netlify-hosting-example,https://github.com/chibataku0815/hono-netlify-hosting-example,,cursor_config: filename:.cursorignore
chibataku0815/mdx,https://github.com/chibataku0815/mdx,,cursor_config: filename:.cursorignore
2f0833e717/work-package,https://github.com/2f0833e717/work-package,,cursor_config: filename:.cursorignore
2f0833e717/markdown-dropdown,https://github.com/2f0833e717/markdown-dropdown,,cursor_config: filename:.cursorignore
eddy961206/airplane_chime_timer,https://github.com/eddy961206/airplane_chime_timer,,cursor_config: filename:.cursorignore
voiceflow-gallagan/answers-user-feedback,https://github.com/voiceflow-gallagan/answers-user-feedback,,cursor_config: filename:.cursorignore
voiceflow-gallagan/voiceflow-perplexity-reasoning-extension,https://github.com/voiceflow-gallagan/voiceflow-perplexity-reasoning-extension,,cursor_config: filename:.cursorignore
patrickdwyer33/draw.patrickdwyer.com,https://github.com/patrickdwyer33/draw.patrickdwyer.com,,cursor_config: filename:.cursorignore
triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev,Trigger.dev – open source background jobs and AI infrastructure,cursor_config: filename:.cursorignore
trycua/cua,https://github.com/trycua/cua,c/ua is the Docker container layer for Computer-Use AI agents.,cursor_config: filename:.cursorignore
