name,url,description,found_by
TrevinoCRT/AutoSat,https://github.com/TrevinoCRT/AutoSat,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Jackiexiao/coze-nobel-prize,https://github.com/Jackiexiao/coze-nobel-prize,周周黑客松奖状生成器 使用 AI 为每位参与者生成独特的奖状，记录每一个精彩瞬间。上传照片，填写奖项名称和颁奖词， 让我们为每一份努力喝彩！,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
pattanun-np/mutelu,https://github.com/pattanun-np/mutelu,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
uakbr/auto-typer-python,https://github.com/uakbr/auto-typer-python,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
CreativeBuilds/queens-example,https://github.com/CreativeBuilds/queens-example,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
MohitBhimrajka/GemmaTuneUI,https://github.com/MohitBhimrajka/GemmaTuneUI,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
timokoola/wiktihelper,https://github.com/timokoola/wiktihelper,Simple Flutter app for accessing Wiktionary,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
nguyenhuuduy6592/defituna-pnl,https://github.com/nguyenhuuduy6592/defituna-pnl,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Zirodev1/AIController,https://github.com/Zirodev1/AIController,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
T1nker-1220/kda,https://github.com/T1nker-1220/kda,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
BaconKwan/linx_ui,https://github.com/BaconKwan/linx_ui,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
rodrigooliver/interflow,https://github.com/rodrigooliver/interflow,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
twelsh37/ethioweb,https://github.com/twelsh37/ethioweb,Amharic website,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
itodobien/AIappforge,https://github.com/itodobien/AIappforge,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
oleksii-honchar/fastify-tmpl,https://github.com/oleksii-honchar/fastify-tmpl,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
oleksii-honchar/rnd-text-to-speech,https://github.com/oleksii-honchar/rnd-text-to-speech,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
oleksii-honchar/rnd-ts-node,https://github.com/oleksii-honchar/rnd-ts-node,Simple and empty Typescript  Node.js backbone repo,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
frinfo702/BlogAPIGo,https://github.com/frinfo702/BlogAPIGo,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
uakbr/pyautotyper,https://github.com/uakbr/pyautotyper,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
trycua/cua,https://github.com/trycua/cua,"Create and run high-performance macOS and Linux VMs on Apple Silicon, with built-in support for AI agents.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
module-federation/core,https://github.com/module-federation/core,Module Federation is a concept that allows developers to share code and resources across multiple JavaScript applications,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
AIDC-AI/ComfyUI-Copilot,https://github.com/AIDC-AI/ComfyUI-Copilot,An AI-powered custom node for ComfyUI designed to enhance workflow automation and provide intelligent assistance,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
ethyca/fides,https://github.com/ethyca/fides,The Privacy Engineering & Compliance Framework,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Steemhunt/mint.club-v2-contract,https://github.com/Steemhunt/mint.club-v2-contract,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Vagabonds-Labs/cofiblocks,https://github.com/Vagabonds-Labs/cofiblocks,"Welcome to Cofiblocks marketplace: A Starknet web3 platform to innovate Costa Rica coffee industry. Cofiblocks connects small coffee farmers directly with coffee lovers, cutting out unnecessary intermediaries.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
microsoft/teams-agent-accelerator-templates,https://github.com/microsoft/teams-agent-accelerator-templates,A collection of templates integrating Microsoft Teams with various AI agent paradigms.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
lxxorz/ai-rules,https://github.com/lxxorz/ai-rules,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
i-dot-ai/scout,https://github.com/i-dot-ai/scout,Generative AI tool for the Infrastructure & Projects Authority to analyse their projects against specified criteria.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
propstreet/reviewer,https://github.com/propstreet/reviewer,Automatically provides PR review for commits through Github Actions,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
raainio/raain-model,https://github.com/raainio/raain-model,raain model used in api,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
triopter/line-breaking-algorithms,https://github.com/triopter/line-breaking-algorithms,Investigation of line-breaking algorithms demonstrated at https://xxyxyz.org/line-breaking/,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
cbardyn/ai-swiss-workflows,https://github.com/cbardyn/ai-swiss-workflows,"Create powerful AI workflows that actually work. No toy interfaces, no vendor lock-in.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
AgusPk/carton-tracker,https://github.com/AgusPk/carton-tracker,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
LiaoAnn/weekly-ui,https://github.com/LiaoAnn/weekly-ui,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
thibo73800/notionflow,https://github.com/thibo73800/notionflow,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
mescp/app-proxy-nodejs,https://github.com/mescp/app-proxy-nodejs,这是一个基于应用程序的http代理转发程序，可以根据应用程序名称自动将流量转发到指定的代理服务器。它能够识别不同应用的网络请求，并根据配置将其转发到不同的代理服务器。,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
kevon217/arealglam-gpt-backend,https://github.com/kevon217/arealglam-gpt-backend,arealglam python backend for OpenAI gpt integration,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
kocavs/Cloud_Project,https://github.com/kocavs/Cloud_Project,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
masonarditi/dev-cert-practice,https://github.com/masonarditi/dev-cert-practice,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Luminousis-ai/luminousis.co,https://github.com/Luminousis-ai/luminousis.co,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
james-see/ragtag4,https://github.com/james-see/ragtag4,example RAG with pgvector postgres and llama3.1 and ollama and golang for screenplay chatting!,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
daytimedrinkingclub/bhaipaisedede,https://github.com/daytimedrinkingclub/bhaipaisedede,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
